Assetpfad;GUID;Asset SHA256;Meta SHA256;Bytes;LastWrite UTC
"Assets/_Game/Art/Actors/AshRunner/AshRunner3D/AshRunner.glb";"b932d02d318892c49b20d226df0d2b3b";"3aa9af05e0e18bffbb28cea5ecc0732ab98bb89ed276b1b7f268b9d7cd5ce036";"aacdaa1ae6a80aec52ae9d2255a6f299b92d3b991f72427b30b1c998e74958f8";"497936";"2026-08-13T15:10:57.6862770Z"
"Assets/_Game/Art/Actors/CoreGuardian/CoreGuardian3D/CoreGuardian.glb";"9f9caf10cd5ad2d4d815561b1e569cc9";"00763e4ba0830bc25a41915ac65c98d7fd2290584f7c5b258129b6a207a60a51";"c678107a499dd2c17ef2e30e1f150f42e66be50be432a9fe462d5697f117e4b2";"482968";"2026-08-13T15:10:57.1835362Z"
"Assets/_Game/Art/Actors/EmberEater/EmberEater3D/EmberEater.glb";"27aba9d977ff0e34982f0ae1176c507c";"40024a60d61b887c71f5df7b7c0599592ea8a31b2c6338926d9632e5c8e37784";"80773c0b587b457cc6905af243ea17c249c02789c5d9551a8cbf960b67c58a73";"397136";"2026-08-14T09:24:19.2947415Z"
"Assets/_Game/Art/Actors/ForgeGuardian/ForgeGuardian3D/ForgeGuardian.glb";"469cdc0e26cdff64286fe38fe24fe50f";"d8bfdbd5d6cd4fa1f989c8f81b8fb08d29166b5a8e279c74ae54e4c9d289325d";"bd356494e360e0f62b4b807189f8b006d77accbb7fa9b75a61d340e64e6e6c82";"414712";"2026-08-13T15:10:56.9215105Z"
"Assets/_Game/Art/Actors/Garon/Garon3D/Garon.glb";"61b3a9b8d3efbf44d96406ababd8d434";"3aa6c517f2832e00a7f702bf01dc5cb5394f9864602a4e23eb797fec51012a81";"ec9637ba6a0698037be8b131e8a7c9469195d268627e70faa4cc4db9c6ffb5ea";"799704";"2026-08-14T09:20:54.8169462Z"
"Assets/_Game/Art/Actors/GraniteShell/GraniteShell3D/GraniteShell.glb";"2c62d83b05e79574086f340fd32b2e1f";"85c09b318de50e8eca08ecec74507c31213483c94f801079efb452800e759c45";"3044317b88d91dfd914ed14e29c8e8903204c0e847771a8c2a41e4f9458b11d7";"509700";"2026-08-13T15:16:42.8818176Z"
"Assets/_Game/Art/Actors/Ignivar/Ignivar3D/Ignivar.glb";"cd31036a7ebc8804bbbef23f12824217";"bf12895c4d1c724a97fec5322c11a4906c21e4772767cdc224061e9b77e968d9";"e37996acd390a66a81240f644cf8926e81ec35bc4d18dc405e08f8dff0d6e1eb";"498720";"2026-08-13T15:10:57.8168773Z"
"Assets/_Game/Art/Actors/MoorThrower/MoorThrower3D/MoorThrower.glb";"b2d5f5c7b98fc6b4fbe221742c99a735";"52c42e8bc675dd7e1cbf739bbb2dca115ad7920a3d4ffedf1d9df159caa37b1b";"bde0286c41bf795269518a520a2849dc3712d4181269e748f3b212505f3a9637";"451660";"2026-08-13T15:10:56.6723222Z"
"Assets/_Game/Art/Actors/Noctarion/Noctarion3D/Noctarion.glb";"b7daee05003967a42a70e50d2f4fb05a";"11fe33cb55720e20455dedb5f4a90ca5ec8c07fec390491139820544d3afa34b";"4de191340178e00b858db6cf28caef5efef1fea10235460ed0dcb281d335f7e6";"493796";"2026-08-13T15:10:57.9430059Z"
"Assets/_Game/Art/Actors/Player/Wanderer3D/Wanderer.glb";"3a8a17a3ea0ef144cb83d049ef83cf7f";"691ab0ed395d31c05383d905f0552d3043e3cd4b6e66f48d7a93a409385ae3c8";"a0692c2815b72036702d2437618049e388536860fd1f15ef7babf43487169d5d";"1800800";"2026-08-15T09:59:15.9163124Z"
"Assets/_Game/Art/Actors/RiftGuardian/RiftGuardian3D/RiftGuardian.glb";"9adae2a5eed7a9445a55ea615a056046";"3d85ab58a4ec1063d0c07a8e17978af30a72ea411f7ff0861507bb8d461e58fe";"f8ac7c8e3925862eb3bebe47c4ef8710b00d1657caa0d7b3b3abf1e998f66a7c";"439796";"2026-08-13T15:10:56.7982820Z"
"Assets/_Game/Art/Actors/Riftling/Riftling3D/Riftling.glb";"1ff239ba6bad5b445bf407be01e4bb5d";"e7b38fb162d1881784a88f9073e2dda27b8ffe4b525533b353e318959934d40a";"9c75ce7ed181b3d615efea60ed92565221e5db912438baaa7bb2724819a0f62b";"412548";"2026-08-13T15:10:56.5379421Z"
"Assets/_Game/Art/Actors/RootCharger/RootCharger3D/RootCharger.glb";"0300909cf54b3394c9c98206242e6ebe";"ad3aea80650e3d775664ab7adb016744ff7e7526579772d72068c22517eb9013";"6a5642c4fb200933c4f52abd5d927653253e639c619e46c25b65d7ebad0f7fb5";"532104";"2026-08-13T15:10:57.4289349Z"
"Assets/_Game/Art/Actors/SealGuardian/SealGuardian3D/SealGuardian.glb";"f1b0809f71e196e4b846f0cfbc1f71e7";"59de375f7ccabf4d18925074de2bcb79c29c4a168305f23e494cfbf1fcbd6a20";"5b09a9bdaeaab496f563e71810b7af0fa7f37e5605e3b9c6cd729e7816445f55";"390500";"2026-08-13T15:10:57.0516432Z"
